jobid,callback,black,crimrec,interact,city,distance,custserv,manualskill
108,1,0,1,1,0,15,1,0
113,0,0,0,1,0,20,0,1
101,1,0,0,0,0,15,1,0
64,1,0,0,0,1,7,1,0
33,0,0,1,0,1,5,1,0
73,0,0,1,0,1,10,0,1
4,0,0,1,0,0,17,1,0
125,1,0,1,1,0,15,1,1
89,0,0,0,0,1,3,1,0
110,0,0,1,1,0,16,1,0
66,0,0,1,0,1,12,1,1
135,1,0,1,0,1,8,1,1
56,0,0,1,0,0,20,1,0
145,1,0,0,1,1,10,1,0
147,0,0,0,0,0,20,1,0
104,1,0,0,1,0,18,1,1
131,0,0,1,0,1,5,0,1
26,1,0,0,0,0,12,0,1
56,0,0,0,0,0,20,1,0
76,1,0,1,0,0,18,0,1
40,0,0,1,0,0,11,1,0
123,0,0,0,1,0,15,0,1
76,0,0,0,1,0,18,0,1
43,0,0,1,0,0,11,1,0
40,0,0,0,0,0,11,1,0
138,0,0,1,1,1,3,0,1
125,1,0,0,1,0,15,1,1
140,0,0,1,0,1,2,1,0
34,0,0,0,0,1,1,1,0
5,0,0,1,1,1,4,1,0
118,0,0,0,0,1,12,0,1
129,0,0,0,0,0,12,1,1
64,1,0,1,0,1,7,1,0
131,0,0,0,0,1,5,0,1
147,0,0,1,0,0,20,1,0
108,1,0,0,1,0,15,1,0
48,0,0,1,0,0,25,0,0
123,0,0,1,0,0,15,0,1
124,1,0,0,1,0,15,1,0
18,1,0,1,1,0,19,0,0
33,0,0,0,0,1,5,1,0
142,1,0,0,0,0,10,0,1
69,0,0,1,0,0,14,1,0
26,1,0,1,0,0,12,0,1
41,0,0,1,1,0,11,1,0
110,0,0,0,0,0,16,1,0
17,0,0,0,0,1,9,1,0
73,0,0,0,0,1,10,0,1
134,0,0,0,0,1,0.5,1,0
101,1,0,1,1,0,15,1,0
36,1,0,0,1,0,15,1,0
149,0,0,0,0,0,20,1,1
7,0,0,0,0,1,18,0,0
4,0,0,0,0,0,17,1,0
20,0,0,1,0,0,17,0,1
60,0,0,1,0,1,1,1,0
135,1,0,0,1,1,8,1,1
69,1,0,0,0,0,14,1,0
87,0,0,1,1,0,18,0,0
5,0,0,0,1,1,4,1,0
63,0,0,0,0,1,6,1,0
34,0,0,1,0,1,1,1,0
20,1,0,0,0,0,17,0,1
65,0,0,0,1,1,1.5,0,1
129,0,0,1,0,0,12,1,1
104,0,0,1,1,0,18,1,1
85,1,0,0,1,0,18,1,0
48,0,0,0,1,0,25,0,0
124,1,0,1,1,0,15,1,0
17,0,0,1,0,1,9,1,0
67,0,0,0,0,0,8,1,0
67,0,0,1,0,0,8,1,0
149,0,0,1,0,0,20,1,1
65,0,0,1,1,1,1.5,0,1
145,0,0,1,0,1,10,1,0
36,1,0,1,1,0,15,1,0
43,0,0,0,0,0,11,1,0
142,1,0,1,0,0,10,0,1
66,0,0,0,1,1,12,1,1
28,0,0,1,0,0,25,0,1
118,0,0,1,0,1,12,0,1
89,0,0,1,0,1,3,1,0
115,0,0,1,0,0,15,1,0
7,0,0,1,1,1,18,0,0
85,1,0,1,1,0,18,1,0
134,0,0,1,0,1,0.5,1,0
28,0,0,0,0,0,25,0,1
113,0,0,1,1,0,20,0,1
87,0,0,0,1,0,18,0,0
127,0,0,1,0,0,12,1,1
63,0,0,1,0,1,6,1,0
120,1,0,1,1,0,18,0,0
41,0,0,0,1,0,11,1,0
140,1,0,0,1,1,2,1,0
115,0,0,0,0,0,15,1,0
59,0,0,1,0,0,15,0,1
138,0,0,0,1,1,3,0,1
120,1,0,0,0,0,18,0,0
18,0,0,0,1,0,19,0,0
127,0,0,0,0,0,12,1,1
62,1,0,1,1,0,15,1,0
35,0,0,0,0,1,1,0,1
59,1,0,0,0,0,15,0,1
122,0,0,0,0,0,15,0,1
39,1,0,1,0,0,11,1,0
143,0,0,0,0,1,10,1,0
130,0,0,1,0,1,2,1,0
80,0,0,1,0,1,12,1,1
29,0,0,1,0,0,18,0,0
117,0,0,1,0,0,18,0,1
51,0,0,1,0,1,4,0,0
60,0,0,0,0,1,1,1,0
32,1,0,0,0,0,17,0,1
16,0,0,0,1,0,20,1,0
78,1,0,0,1,0,20,0,1
136,0,0,1,0,1,10,1,0
94,0,0,0,0,0,18,0,1
88,0,0,1,0,0,10,0,1
112,0,0,1,0,0,15,1,0
82,0,0,0,1,0,12,1,0
86,0,0,1,1,0,15,1,1
13,0,0,1,0,0,20,1,0
70,1,0,0,0,1,1,0,1
109,0,0,1,0,0,16,1,0
52,0,0,0,0,0,15,0,1
136,0,0,0,0,1,10,1,0
58,0,0,1,0,0,12,1,1
49,0,0,1,1,1,4,1,0
106,0,0,1,0,0,10,1,0
100,0,0,1,0,0,15,1,0
53,0,0,1,0,0,20,1,0
55,0,0,0,0,1,8,1,0
84,0,0,0,0,1,8,0,1
91,1,0,1,1,1,10,1,0
83,0,0,1,1,1,10,1,0
27,0,0,1,0,0,25,0,1
50,0,0,1,1,0,20,1,0
14,0,0,1,0,0,20,0,1
68,0,0,1,1,0,20,0,1
105,1,0,0,0,0,10,1,1
132,0,0,1,0,1,10,1,0
88,0,0,0,0,0,10,0,1
19,0,0,1,0,1,9,1,0
112,0,0,0,0,0,15,1,0
24,0,0,1,0,1,1,0,0
68,1,0,0,1,0,20,0,1
38,1,0,0,0,0,15,1,0
93,1,0,1,0,0,12,0,1
2,0,0,1,0,1,3,0,0
37,0,0,1,0,0,10,0,1
81,1,0,0,0,0,12,1,1
46,0,0,0,0,0,20,0,1
98,0,0,0,0,0,20,0,1
133,0,0,1,0,0,15,1,0
79,0,0,1,0,0,20,0,1
114,0,0,0,0,0,18,1,0
94,0,0,1,0,0,18,0,1
19,0,0,0,0,1,9,1,0
133,0,0,0,1,0,15,1,0
61,0,0,0,0,1,10,1,0
106,1,0,0,0,0,10,1,0
126,0,0,1,0,0,15,1,0
116,1,0,0,0,1,8,0,1
47,1,0,1,1,1,5,1,0
103,1,0,0,1,0,18,1,1
119,0,0,1,0,1,15,1,0
107,0,0,0,0,0,10,0,0
61,0,0,1,0,1,10,1,0
98,0,0,1,0,0,20,0,1
74,1,0,0,0,0,16,1,0
52,0,0,1,0,0,15,0,1
148,0,0,1,0,1,16,0,1
10,0,0,1,0,0,20,0,1
107,0,0,1,0,0,10,0,0
1,1,0,0,0,0,18,0,1
9,0,0,1,0,0,7,1,0
13,1,0,0,1,0,20,1,0
90,0,0,1,0,1,8,1,0
15,0,0,1,0,0,22,1,0
11,1,0,0,1,0,20,0,1
22,0,0,1,0,1,8,0,1
137,0,0,0,0,1,12,0,1
9,1,0,0,1,0,7,1,0
54,0,0,1,0,0,17,1,1
141,0,0,1,0,1,15,0,0
55,0,0,1,0,1,8,1,0
77,1,0,1,0,0,20,1,0
99,0,0,1,0,0,22,0,1
105,0,0,1,0,0,10,1,1
75,0,0,1,0,0,12,1,1
6,0,0,1,0,1,22,0,1
141,1,0,0,0,1,15,0,0
39,1,0,0,0,0,11,1,0
54,0,0,0,0,0,17,1,1
46,0,0,1,0,0,20,0,1
35,0,0,1,0,1,1,0,1
74,1,0,1,0,0,16,1,0
144,0,0,0,0,0,17,0,0
121,1,0,0,1,0,20,0,1
84,0,0,1,0,1,8,0,1
8,0,0,1,0,0,15,0,0
25,1,0,0,0,0,11,0,1
97,0,0,0,0,0,21,0,1
117,0,0,0,0,0,18,0,1
11,1,0,1,1,0,20,0,1
47,0,0,0,1,1,5,1,0
80,0,0,0,0,1,12,1,1
130,0,0,0,1,1,2,1,0
51,0,0,0,0,1,4,0,0
92,0,0,0,0,1,15,0,1
1,1,0,1,0,0,18,0,1
148,0,0,0,0,1,16,0,1
102,1,0,0,1,0,20,1,1
42,0,0,1,1,0,10,1,0
114,0,0,1,0,0,18,1,0
10,0,0,0,0,0,20,0,1
71,1,0,0,0,1,5,1,1
72,1,0,0,0,0,15,1,0
27,0,0,0,0,0,25,0,1
77,0,0,0,0,0,20,1,0
30,0,0,0,0,1,11,1,0
95,0,0,1,0,0,16,1,0
72,0,0,1,0,0,15,1,0
96,0,0,1,0,0,10,1,0
111,1,0,0,0,1,5,1,1
62,1,0,0,1,0,15,1,0
12,0,0,0,1,1,10,1,0
102,1,0,1,1,0,20,1,1
92,0,0,1,0,1,15,0,1
111,0,0,1,1,1,5,1,1
23,0,0,0,0,0,11,0,0
57,0,0,1,0,1,12,0,1
128,0,0,1,0,1,10,1,1
95,1,0,0,0,0,16,1,0
143,0,0,1,0,1,10,1,0
14,0,0,0,0,0,20,0,1
116,0,0,1,0,1,8,0,1
42,0,0,0,0,0,10,1,0
83,0,0,0,1,1,10,1,0
126,0,0,0,0,0,15,1,0
139,0,0,1,0,0,15,1,1
144,0,0,1,0,0,17,0,0
137,0,0,1,0,1,12,0,1
25,1,0,1,0,0,11,0,1
122,0,0,1,0,0,15,0,1
146,1,0,0,0,1,12,1,1
96,0,0,0,0,0,10,1,0
128,0,0,0,0,1,10,1,1
38,0,0,1,1,0,15,1,0
91,0,0,0,0,1,10,1,0
3,0,0,1,0,0,15,0,0
81,0,0,1,0,0,12,1,1
86,1,0,0,1,0,15,1,1
49,0,0,0,0,1,4,1,0
31,0,0,1,0,1,8,1,0
100,0,0,0,0,0,15,1,0
97,0,0,1,0,0,21,0,1
70,0,0,1,0,1,1,0,1
21,0,0,0,0,1,1,0,1
57,0,0,0,0,1,12,0,1
75,0,0,0,0,0,12,1,1
15,0,0,0,0,0,22,1,0
146,0,0,1,0,1,12,1,1
44,0,0,0,0,0,9,1,0
31,0,0,0,0,1,8,1,0
139,0,0,0,0,0,15,1,1
90,0,0,0,0,1,8,1,0
37,0,0,0,0,0,10,0,1
30,0,0,1,0,1,11,1,0
22,0,0,0,0,1,8,0,1
32,0,0,1,0,0,17,0,1
6,1,0,0,0,1,22,0,1
119,1,0,0,1,1,15,1,0
50,1,0,0,0,0,20,1,0
44,0,0,1,0,0,9,1,0
