"treatment","cash","accts_amt","stroop_time","income_less20k"
"Before Payday",30,3000,7.614089012146,0
"Before Payday",75,800,7.27333331108093,1
"After Payday",110,15000,7.7085637152195,0
"After Payday",160,NA,7.35400413473447,0
"Before Payday",40,40000,7.37007714311282,0
"After Payday",30,40000,7.25282158454259,0
"After Payday",20,1800,7.75099099675814,0
"Before Payday",0,29,7.46873611211777,1
"After Payday",100,10,7.24156537652016,0
"Before Payday",200,10000,7.66231605410576,1
"Before Payday",30,234,7.58617064356804,0
"Before Payday",113,5300,7.69996744394302,0
"Before Payday",20,17,7.35382348299026,1
"Before Payday",NA,NA,7.58864744504293,0
"After Payday",145,1600,7.64385386308034,1
"After Payday",10,20,7.66624034444491,1
"After Payday",30,500,7.81264739235242,1
"After Payday",146,6410,7.6153603096803,0
"Before Payday",0,1,7.54327885309855,1
"After Payday",100,400,7.51641753315926,1
"After Payday",50,2,7.52278962731361,0
"After Payday",400,10000,7.57563022772471,0
"Before Payday",20,NA,7.65497429172198,0
"After Payday",200,8000,7.13139823079109,0
"After Payday",10,25,7.73062682151794,1
"After Payday",100,2600,7.23454140623411,1
"Before Payday",10,8700,7.21360516548157,1
"After Payday",NA,NA,7.33646699786186,1
"After Payday",50,550,7.3746188779672,0
"Before Payday",100,10000,7.94129364689191,1
"Before Payday",60,80,7.89470402399699,1
"After Payday",2,82,7.60113533337911,0
"Before Payday",35,600,7.46473218003909,1
"Before Payday",0,8,6.90377812584241,0
"Before Payday",15,57,7.42832095424334,1
"Before Payday",20,NA,7.52056160569191,0
"Before Payday",100,NA,7.52472718556722,0
"After Payday",2,120,7.41511113444964,1
"Before Payday",300,1000,7.4636528591315,0
"After Payday",10,25000,7.36488872766495,0
"Before Payday",300,17000,7.66133615374565,0
"Before Payday",100,100,7.67413851618767,0
"Before Payday",6,17000,7.59823485215505,0
"Before Payday",50,25000,7.48710025350253,1
"Before Payday",500,10000,7.07651543617249,0
"Before Payday",40,25000,7.69738826155663,1
"Before Payday",40,200,7.71519557634989,0
"After Payday",22,580,7.76420562465986,0
