"day","statename","PriceD","VolumeD","PriceR","VolumeR","state"
"2006-11-12","Alabama",40,0,40,0,"AL"
"2006-11-12","Alaska",40,0,40,0,"AK"
"2006-11-12","Arizona",40,0,40,0,"AZ"
"2006-11-12","Arkansas",40,0,40,0,"AR"
"2006-11-12","California",40,0,40,0,"CA"
"2006-11-12","Colorado",40,0,40,0,"CO"
"2006-11-12","Connecticut",40,0,40,0,"CT"
"2006-11-12","Delaware",40,0,40,0,"DE"
"2006-11-12","District of Columbia",33.3,0,33.3,0,"DC"
"2006-11-12","Georgia",40,0,40,0,"GA"
"2006-11-12","Hawaii",40,0,40,0,"HI"
"2006-11-12","Idaho",40,0,40,0,"ID"
"2006-11-12","Illinois",40,0,40,0,"IL"
"2006-11-12","Indiana",40,0,40,0,"IN"
"2006-11-12","Iowa",40,0,40,0,"IA"
"2006-11-12","Kansas",40,0,40,0,"KS"
"2006-11-12","Kentucky",40,0,40,0,"KY"
"2006-11-12","Louisiana",40,0,40,0,"LA"
"2006-11-12","Maine",40,0,40,0,"ME"
"2006-11-12","Maryland",40,0,40,0,"MD"
"2006-11-12","Massachusetts",40,0,40,0,"MA"
"2006-11-12","Michigan",40,0,40,0,"MI"
"2006-11-12","Minnesota",40,0,40,0,"MN"
"2006-11-12","Mississippi",40,0,40,0,"MS"
"2006-11-12","Missouri",40,0,40,0,"MO"
"2006-11-12","Montana",40,0,40,0,"MT"
"2006-11-12","Nebraska",40,0,40,0,"NE"
"2006-11-12","Nevada",40,0,40,0,"NV"
"2006-11-12","New Hampshire",40,0,40,0,"NH"
"2006-11-12","New Jersey",40,0,40,0,"NJ"
"2006-11-12","New Mexico",40,0,40,0,"NM"
"2006-11-12","New York",40,1,40,0,"NY"
"2006-11-12","North Carolina",40,0,40,0,"NC"
"2006-11-12","North Dakota",40,0,40,0,"ND"
"2006-11-12","Ohio",40,0,40,0,"OH"
"2006-11-12","Oklahoma",40,0,40,0,"OK"
"2006-11-12","Oregon",40,0,40,0,"OR"
"2006-11-12","Pennsylvania",40,0,40,0,"PA"
"2006-11-12","Rhode Island",40,0,40,0,"RI"
"2006-11-12","South Carolina",40,0,40,0,"SC"
"2006-11-12","South Dakota",40,0,40,0,"SD"
"2006-11-12","Tennessee",40,0,40,0,"TN"
"2006-11-12","Texas",40,0,40,5,"TX"
"2006-11-12","Utah",40,0,40,0,"UT"
"2006-11-12","Vermont",40,0,40,0,"VT"
"2006-11-12","Virginia",40,0,40,0,"VA"
"2006-11-12","Washington",40,0,40,0,"WA"
"2006-11-12","West Virginia",40,0,40,0,"WV"
"2006-11-12","Wisconsin",40,0,40,0,"WI"
"2006-11-12","Wyoming",40,0,40,0,"WY"
"2006-11-13","Alabama",40,0,40,0,"AL"
"2006-11-13","Alaska",40,0,40,0,"AK"
"2006-11-13","Arizona",40,0,40,0,"AZ"
"2006-11-13","Arkansas",40,0,40,0,"AR"
"2006-11-13","California",40,0,40,0,"CA"
"2006-11-13","Colorado",40,0,40,0,"CO"
"2006-11-13","Connecticut",40,0,40,0,"CT"
"2006-11-13","Delaware",40,0,40,0,"DE"
"2006-11-13","District of Columbia",33.3,0,33.3,0,"DC"
"2006-11-13","Florida",45,0,45,0,"FL"
"2006-11-13","Georgia",40,0,40,0,"GA"
"2006-11-13","Hawaii",40,0,40,0,"HI"
"2006-11-13","Idaho",40,0,40,0,"ID"
"2006-11-13","Illinois",40,0,40,0,"IL"
"2006-11-13","Indiana",40,0,40,0,"IN"
"2006-11-13","Iowa",40,0,40,0,"IA"
"2006-11-13","Kansas",40,0,40,0,"KS"
"2006-11-13","Kentucky",40,0,40,0,"KY"
"2006-11-13","Louisiana",40,0,40,0,"LA"
"2006-11-13","Maine",40,0,40,0,"ME"
"2006-11-13","Maryland",40,0,40,0,"MD"
"2006-11-13","Massachusetts",40,0,40,0,"MA"
"2006-11-13","Michigan",40,0,40,0,"MI"
"2006-11-13","Minnesota",40,0,40,2,"MN"
"2006-11-13","Mississippi",40,0,40,0,"MS"
"2006-11-13","Missouri",40,0,40,0,"MO"
"2006-11-13","Montana",40,0,40,0,"MT"
"2006-11-13","Nebraska",40,0,40,0,"NE"
"2006-11-13","Nevada",40,0,40,0,"NV"
"2006-11-13","New Hampshire",40,0,40,0,"NH"
"2006-11-13","New Jersey",40,0,40,0,"NJ"
"2006-11-13","New Mexico",40,0,40,0,"NM"
"2006-11-13","New York",40,1,40,0,"NY"
"2006-11-13","North Carolina",40,0,40,0,"NC"
"2006-11-13","North Dakota",40,0,40,0,"ND"
"2006-11-13","Ohio",40,5,40,0,"OH"
"2006-11-13","Oklahoma",40,0,40,0,"OK"
"2006-11-13","Oregon",40,0,40,0,"OR"
"2006-11-13","Pennsylvania",40,0,40,0,"PA"
"2006-11-13","Rhode Island",40,0,40,0,"RI"
"2006-11-13","South Carolina",40,0,40,0,"SC"
"2006-11-13","South Dakota",40,0,40,0,"SD"
"2006-11-13","Tennessee",40,0,40,0,"TN"
"2006-11-13","Texas",40,0,40,0,"TX"
"2006-11-13","Utah",40,0,40,0,"UT"
"2006-11-13","Vermont",40,0,40,0,"VT"
"2006-11-13","Virginia",40,0,40,0,"VA"
"2006-11-13","Washington",40,0,40,0,"WA"
"2006-11-13","West Virginia",40,0,40,0,"WV"
"2006-11-13","Wisconsin",40,0,40,0,"WI"
"2006-11-13","Wyoming",40,0,40,0,"WY"
"2006-11-14","Alabama",40,0,40,0,"AL"
"2006-11-14","Alaska",40,0,40,0,"AK"
"2006-11-14","Arizona",40,0,40,0,"AZ"
"2006-11-14","Arkansas",40,0,40,0,"AR"
"2006-11-14","California",40,0,40,0,"CA"
"2006-11-14","Colorado",40,0,40,0,"CO"
"2006-11-14","Connecticut",40,0,40,0,"CT"
"2006-11-14","Delaware",40,0,40,0,"DE"
"2006-11-14","District of Columbia",33.3,0,33.3,0,"DC"
"2006-11-14","Florida",45,0,45,0,"FL"
"2006-11-14","Georgia",40,0,40,0,"GA"
"2006-11-14","Hawaii",40,0,40,0,"HI"
"2006-11-14","Idaho",40,0,40,0,"ID"
"2006-11-14","Illinois",40,0,40,0,"IL"
"2006-11-14","Indiana",40,0,40,0,"IN"
"2006-11-14","Iowa",40,0,40,0,"IA"
"2006-11-14","Kansas",40,0,40,0,"KS"
"2006-11-14","Kentucky",40,0,40,0,"KY"
"2006-11-14","Louisiana",40,0,40,0,"LA"
"2006-11-14","Maine",40,0,40,0,"ME"
"2006-11-14","Maryland",40,0,40,0,"MD"
"2006-11-14","Massachusetts",40,0,40,0,"MA"
"2006-11-14","Michigan",40,0,40,0,"MI"
"2006-11-14","Minnesota",40,0,40,0,"MN"
"2006-11-14","Mississippi",40,0,40,0,"MS"
"2006-11-14","Missouri",40,0,40,0,"MO"
"2006-11-14","Montana",40,0,40,0,"MT"
"2006-11-14","Nebraska",40,0,40,0,"NE"
"2006-11-14","Nevada",40,0,40,0,"NV"
"2006-11-14","New Hampshire",40,0,40,0,"NH"
"2006-11-14","New Jersey",40,5,40,0,"NJ"
"2006-11-14","New Mexico",40,0,40,0,"NM"
"2006-11-14","New York",40,0,40,0,"NY"
