"","state","day","statename","PriceD","VolumeD","PriceR","VolumeR","Obama","Romney","EV"
"1","AK","2012-04-09","Alaska",NA,0,NA,0,41,55,3
"2","AK","2011-03-19","Alaska",0,0,0,0,41,55,3
"3","AK","2011-08-16","Alaska",0,0,0,0,41,55,3
"4","AK","2012-04-07","Alaska",NA,0,NA,0,41,55,3
"5","AK","2012-02-24","Alaska",0,0,0,0,41,55,3
"6","AK","2012-06-11","Alaska",NA,0,NA,0,41,55,3
"7","AK","2012-04-06","Alaska",NA,0,NA,0,41,55,3
"8","AK","2011-03-11","Alaska",0,0,0,0,41,55,3
"9","AK","2012-04-03","Alaska",NA,0,NA,0,41,55,3
"10","AK","2012-02-25","Alaska",0,0,0,0,41,55,3
"11","AK","2011-03-12","Alaska",0,0,0,0,41,55,3
"12","AK","2012-04-02","Alaska",NA,0,NA,0,41,55,3
"13","AK","2011-03-20","Alaska",0,0,0,0,41,55,3
"14","AK","2012-04-08","Alaska",NA,0,NA,0,41,55,3
"15","AK","2012-03-25","Alaska",NA,0,NA,0,41,55,3
"16","AK","2012-03-28","Alaska",NA,0,NA,0,41,55,3
"17","AK","2012-03-18","Alaska",NA,0,NA,0,41,55,3
"18","AK","2012-06-14","Alaska",NA,0,NA,0,41,55,3
"19","AK","2012-01-17","Alaska",0,0,0,0,41,55,3
"20","AK","2012-03-30","Alaska",NA,0,NA,0,41,55,3
"21","AK","2012-04-30","Alaska",NA,0,NA,0,41,55,3
"22","AK","2012-03-23","Alaska",NA,0,NA,0,41,55,3
"23","AK","2011-03-21","Alaska",0,0,0,0,41,55,3
"24","AK","2011-03-10","Alaska",0,0,0,0,41,55,3
"25","AK","2012-03-26","Alaska",NA,0,NA,0,41,55,3
"26","AK","2012-06-12","Alaska",NA,0,NA,0,41,55,3
"27","AK","2011-03-13","Alaska",0,0,0,0,41,55,3
"28","AK","2012-08-01","Alaska",NA,0,90,0,41,55,3
"29","AK","2011-11-05","Alaska",0,0,0,0,41,55,3
"30","AK","2012-04-01","Alaska",NA,0,NA,0,41,55,3
"31","AK","2012-02-23","Alaska",0,0,0,0,41,55,3
"32","AK","2012-03-31","Alaska",NA,0,NA,0,41,55,3
"33","AK","2012-02-26","Alaska",0,0,0,0,41,55,3
"34","AK","2011-03-18","Alaska",0,0,0,0,41,55,3
"35","AK","2012-01-20","Alaska",0,0,0,0,41,55,3
"36","AK","2012-07-30","Alaska",NA,0,90,0,41,55,3
"37","AK","2011-08-09","Alaska",0,0,0,0,41,55,3
"38","AK","2012-03-16","Alaska",NA,0,NA,0,41,55,3
"39","AK","2011-08-19","Alaska",0,0,0,0,41,55,3
"40","AK","2012-03-29","Alaska",NA,0,NA,0,41,55,3
"41","AK","2012-05-02","Alaska",NA,0,NA,0,41,55,3
"42","AK","2012-01-18","Alaska",0,0,0,0,41,55,3
"43","AK","2011-03-23","Alaska",0,0,0,0,41,55,3
"44","AK","2012-04-11","Alaska",NA,0,NA,0,41,55,3
"45","AK","2012-01-21","Alaska",0,0,0,0,41,55,3
